# Source: NHS England monthly A&E statistics - cleaned national aggregates.
# Contains public sector information licensed under the Open Government Licence v3.
# within_4h_pct is the published attendance-weighted figure; blank where not published.
# breaches = covered attendances minus within-4h (published months only).
date,total_attendances,within_4h_pct,breaches,emergency_admissions,twelve_hour_trolley_waits
2015-06-01,1911209,94.80,,458790,25
2015-07-01,1952895,95.01,,473914,22
2015-08-01,1865139,94.29,,455432,28
2015-09-01,1859979,93.38,,464195,23
2015-10-01,1923108,92.33,,479987,58
2015-11-01,1874235,91.28,,475564,29
2015-12-01,1867652,90.97,,487798,29
2016-02-01,1870776,87.75,,462864,188
2016-03-01,2087553,87.27,,494076,349
2016-04-01,1867781,90.04,,460209,196
2016-05-01,2070340,90.28,,493191,107
2016-06-01,1958802,90.56,,480210,84
2016-07-01,2079034,90.29,,490221,113
2016-08-01,1932901,90.98,,470554,57
2016-09-01,1952464,90.65,,475808,86
2016-10-01,2001816,89.05,,492983,252
2016-11-01,1907871,88.38,,489326,457
2016-12-01,1944567,86.18,,497915,553
2017-01-01,1895272,85.14,,492273,989
2017-02-01,1735619,87.53,,447688,338
2017-03-01,2015834,90.01,,509805,270
2017-04-01,1949762,90.52,184930,471328,143
2017-05-01,2066789,89.70,212872,505843,115
2017-06-01,1994056,90.73,184945,491206,55
2017-07-01,2073944,90.35,200181,499259,74
2017-08-01,1924663,90.30,186707,486074,50
2017-09-01,1925961,89.67,199027,486799,77
2017-10-01,2044137,89.94,205602,513217,57
2017-11-01,1976971,88.77,222082,513019,107
2017-12-01,2003954,84.99,300893,520803,517
2018-01-01,2000086,85.30,294029,526045,1054
2018-02-01,1820012,85.04,272187,476867,369
2018-03-01,2049785,84.62,315232,526066,853
2018-04-01,1984369,88.57,226764,503393,356
2018-05-01,2164458,90.39,208002,533457,106
2018-06-01,2093942,90.76,193418,513254,99
2018-07-01,2179896,89.32,232824,529932,149
2018-08-01,1997854,89.73,205239,517299,162
2018-09-01,2005695,88.94,221756,510322,154
2018-10-01,2079492,89.01,228550,546022,214
2018-11-01,2037847,87.60,252602,545357,259
2018-12-01,2047518,86.45,277514,544903,284
2019-01-01,2113413,84.35,330696,564035,627
2019-02-01,1954947,84.23,308388,505722,521
2019-03-01,2167551,86.61,290250,555457,331
2019-04-01,2112165,85.13,314181,535226,442
2019-05-01,2172006,78.01,261465,547382,416
2019-06-01,2107987,77.73,258582,528801,462
2019-07-01,2265050,77.88,275515,554069,452
2019-08-01,2125435,77.82,262730,529231,371
2019-09-01,2123345,76.77,282197,529903,458
2019-10-01,2170885,75.34,320025,563133,725
2019-11-01,2143505,73.32,358128,559556,1111
2019-12-01,2180537,71.81,396198,560795,2356
2020-01-01,2114709,73.55,348776,559058,2847
2020-02-01,1969691,74.55,305307,510811,1621
2020-03-01,1531801,75.86,216801,427968,1174
2020-04-01,916575,80.68,78135,326581,251
2020-05-01,1261837,83.18,72861,398406,93
2020-06-01,1410602,82.60,90711,437601,159
2020-07-01,1588286,81.92,113278,473226,271
2020-08-01,1719003,79.56,166099,474225,335
2020-09-01,1693880,77.92,192094,479855,346
2020-10-01,1599347,74.92,221002,481846,1268
2020-11-01,1485176,74.36,212753,453916,2148
2020-12-01,1474674,71.19,257854,460260,3745
2021-01-01,1310806,69.63,249811,445600,3825
2021-02-01,1278091,74.46,182335,422424,1021
2021-03-01,1691282,76.55,208329,503926,688
2021-04-01,1866232,75.87,242921,510262,526
2021-05-01,2075542,74.42,300908,543965,695
2021-06-01,2157132,72.31,358838,535402,1289
2021-07-01,2160128,69.12,428003,532712,2208
2021-08-01,2035967,68.51,416277,503886,2787
2021-09-01,2127204,66.81,468210,507086,5024
2021-10-01,2164802,65.73,501642,517183,7058
2021-11-01,2037955,65.99,470980,506242,10646
2021-12-01,1874642,65.35,443247,499055,12859
2022-01-01,1875202,66.10,427604,484952,16564
2022-02-01,1825363,65.17,433787,459952,16402
2022-03-01,2174798,63.83,549773,514255,22506
2022-04-01,2028796,64.64,503748,479779,24179
2022-05-01,2233053,65.04,541689,517711,19657
2022-06-01,2191691,64.29,546401,503048,22017
2022-07-01,2181655,63.47,563450,497099,29139
2022-09-01,2008489,63.42,518827,487477,32762
2022-11-01,2178804,61.55,602145,515525,37853
2023-01-01,1968338,64.73,483045,508779,42767
2023-02-01,1914279,63.75,486292,472856,34975
2023-03-01,2165951,63.87,550538,532091,39687
2023-04-01,2034040,66.56,460788,490473,26492
2023-05-01,2245919,65.96,520293,528935,31498
2023-06-01,2225726,73.38,592471,522723,26488
2023-07-01,2199787,74.03,571273,534682,23396
2023-08-01,2109861,73.03,569018,523881,27710
2023-09-01,2170046,71.70,614153,521228,32228
2023-10-01,2224320,70.31,660299,546871,43534
2023-11-01,2167584,69.82,654200,544643,42503
2023-12-01,2184918,69.51,666262,546143,43858
2024-01-01,1000,,50,,
2024-02-01,2157822,70.99,625932,527343,44420
2024-03-01,2370221,74.35,608074,567456,42972
2024-04-01,2240668,74.49,571685,544113,42078
2024-05-01,2416292,73.96,629185,564693,42555
2024-06-01,2294065,74.59,582956,536884,38106
2024-07-01,2324832,75.22,576161,552468,36806
2024-08-01,2160791,76.33,511384,525633,28494
2024-09-01,2214217,74.22,570888,530824,38880
2024-10-01,2360536,73.08,635342,567448,49616
2024-11-01,2314998,72.18,643996,552161,45791
2024-12-01,2345934,71.12,677473,552592,54207
2025-01-01,2218130,73.01,598746,548775,61529
2025-02-01,2088071,73.46,554146,496095,47623
2025-03-01,2389064,74.98,597748,551129,46766
2025-04-01,2297421,74.78,579322,528230,44648
2025-05-01,2397529,75.40,589735,545128,42891
2025-06-01,2351581,75.56,574809,535941,38683
2025-07-01,2408866,76.41,568304,559392,35467
2025-08-01,2266937,75.88,546871,526399,35909
2025-09-01,2310222,75.05,576391,535580,44765
2025-10-01,2401266,74.19,619874,553499,54326
2025-11-01,2347046,74.22,605140,531747,50648
2026-01-01,2319296,72.45,638938,546136,71517
2026-02-01,2117450,74.06,549366,493015,54649
2026-03-01,2432272,77.11,556711,553892,46665
2026-04-01,2345329,76.91,541542,525660,47750
2026-05-01,2457398,75.69,597323,533280,50212
2026-06-01,2437906,75.02,608917,534753,49466
2026-07-01,2487580,75.37,612579,547828,47438
